frequency_hz,peak_amplitude_mv
90500,2.41529844366e-14
90750,2.48570813493e-14
91000,2.47941393443e-14
91250,2.55949929237e-14
91500,2.66704687657e-14
91750,2.79604633779e-14
92000,2.79824697674e-14
92250,2.88850814288e-14
92500,2.99974274317e-14
92750,3.04423543532e-14
93000,3.17804819728e-14
93250,3.29299050651e-14
93500,3.40671528658e-14
93750,3.48198183456e-14
94000,3.58181486428e-14
94250,3.7630895254e-14
94500,3.96248670004e-14
94750,4.19191228482e-14
95000,4.31073083042e-14
95250,4.49959200146e-14
95500,4.78203345442e-14
95750,5.11280606277e-14
96000,5.41646002252e-14
96250,5.72146203706e-14
96500,6.09599846768e-14
96750,6.60793089388e-14
97000,7.17670681725e-14
97250,7.73923197114e-14
97500,8.50923050945e-14
97750,9.42822793576e-14
98000,1.06879090153e-13
98250,1.20720935123e-13
98500,1.40828697684e-13
98750,1.6841328586e-13
99000,2.10176923709e-13
99250,2.79711385266e-13
99500,4.18476483345e-13
99750,8.33275036133e-13
100000,19.2249717945
100250,8.2961698323e-13
100500,4.12622866331e-13
100750,2.74713312941e-13
101000,2.05061038808e-13
101250,1.64609482214e-13
101500,1.36463048742e-13
101750,1.15869840064e-13
102000,1.00900512275e-13
102250,9.01367159978e-14
102500,8.2520472721e-14
102750,7.34063532673e-14
103000,6.52580268726e-14
103250,6.18308666589e-14
103500,5.86517898211e-14
103750,5.61743887996e-14
104000,4.93338390444e-14
104250,4.44860598989e-14
104500,4.63776627879e-14
104750,4.29274816025e-14
105000,4.48601669831e-14
105250,3.53443598077e-14
105500,3.83872610931e-14
105750,4.14559454384e-14
106000,2.85335031796e-14
106250,2.60275672452e-14
106500,2.8178618593e-14
106750,3.16827269886e-14
107000,2.77639470848e-14
107250,2.81575393843e-14
107500,2.19497109002e-14
107750,2.61458014915e-14
108000,2.47868151489e-14
108250,2.51219931069e-14
108500,2.19760446054e-14
108750,2.1231635967e-14
109000,2.23511697489e-14
109250,2.20549553228e-14
109500,1.92365623899e-14
109750,1.86615653156e-14
110000,1.7973072779e-14
110250,1.92835325816e-14
110500,1.76634761444e-14
110750,1.72328253106e-14
111000,1.61467451724e-14
111250,1.57850678514e-14
111500,1.60538106336e-14
111750,1.53842359709e-14
112000,1.44722894244e-14
112250,1.45753456181e-14
112500,1.31382951313e-14
112750,1.45068886316e-14
113000,1.38686265248e-14
113250,1.35383168247e-14
113500,1.23546239622e-14
113750,1.21173962632e-14
114000,1.25068815894e-14
114250,1.19535006973e-14
114500,1.22541215912e-14
114750,1.06631867756e-14
115000,1.10780006157e-14
115250,1.13128958044e-14
115500,1.09646719281e-14
115750,1.04575081854e-14
116000,1.06620644138e-14
116250,9.88777339203e-15
116500,1.01876449796e-14
116750,1.003912898e-14
117000,9.80407319976e-15
117250,9.28056363046e-15
117500,1.02814144567e-14
117750,9.4405349887e-15
118000,9.80270659528e-15
118250,9.61893282654e-15
118500,9.3498172005e-15
118750,9.0555802089e-15
119000,9.5779139735e-15
119250,9.11777431005e-15
119500,9.21836827189e-15
119750,8.35328097125e-15
120000,9.03950719419e-15
120250,8.92431235868e-15
120500,7.34824834653e-15
120750,8.34967916647e-15
121000,8.21255930595e-15
121250,8.1908123342e-15
121500,8.04821705335e-15
121750,7.68255829135e-15
122000,7.52759893394e-15
122250,7.58431746257e-15
122500,8.16025702182e-15
122750,7.68161311536e-15
123000,7.18474033944e-15
123250,6.43660907055e-15
123500,6.1592313712e-15
123750,6.62972372629e-15
124000,6.31295310337e-15
124250,6.35871722886e-15
124500,6.00882864718e-15
124750,5.89656960125e-15
125000,6.0643811293e-15
125250,5.76706536519e-15
125500,5.71961582025e-15
125750,5.84490106803e-15
126000,5.28713551345e-15
126250,6.16312267655e-15
126500,5.490641607e-15
126750,6.18693610341e-15
127000,5.15604459887e-15
127250,5.33106005044e-15
127500,6.23797865624e-15
127750,5.47751845747e-15
128000,4.83255234902e-15
128250,4.84292935988e-15
128500,5.36426634075e-15
128750,5.4448995182e-15
129000,5.14807707245e-15
129250,5.27634041318e-15
129500,4.46259357803e-15
129750,5.58530667626e-15
130000,5.64934641111e-15
130250,5.97657508199e-15
130500,5.30575554517e-15
130750,3.9479113287e-15
131000,2.19027711645e-15
131250,2.06654399249e-15
131500,3.13572776948e-15
131750,4.22239224642e-15
132000,4.03435683507e-15
132250,4.30183710071e-15
132500,3.42802155951e-15
132750,4.76202255463e-15
133000,3.74554385526e-15
133250,4.72625302748e-15
133500,5.84038654293e-15
133750,4.86014333554e-15
134000,4.1876308401e-15
134250,3.12113344349e-15
134500,4.27522388056e-15
134750,3.88753440605e-15
135000,3.71835517068e-15
135250,3.40887552205e-15
135500,3.31460667507e-15
135750,3.8301443919e-15
136000,4.64799709767e-15
136250,3.92610944387e-15
136500,3.95258397109e-15
136750,3.43319717415e-15
137000,3.51867776785e-15
137250,2.85243264633e-15
137500,3.83754871846e-15
137750,3.36776618489e-15
138000,4.20024811203e-15
138250,2.39022859685e-15
138500,4.2573741596e-15
138750,3.69442972158e-15
139000,4.44386372064e-15
139250,2.90396431468e-15
139500,3.10238814354e-15
139750,1.35998461164e-15
140000,3.23228553971e-15
140250,2.92386696802e-15
140500,2.36879365026e-15
140750,3.0020001517e-15
141000,2.59762705176e-15
141250,3.55005277262e-15
141500,2.66084585577e-15
141750,2.91293697475e-15
142000,2.61319575819e-15
142250,2.66564402217e-15
142500,2.71553455934e-15
142750,2.67368696339e-15
143000,3.26264524963e-15
143250,2.44559861177e-15
143500,2.36291949243e-15
143750,2.3688006658e-15
144000,2.25040035661e-15
144250,2.29301472404e-15
144500,2.27283431389e-15
144750,2.01086938383e-15
145000,2.42099898401e-15
145250,1.99980568001e-15
145500,2.14280830023e-15
145750,2.96742252342e-15
146000,2.26060271303e-15
146250,1.94737497128e-15
146500,1.70280281496e-15
146750,1.84707632172e-15
147000,1.57382862804e-15
147250,2.03745022052e-15
147500,1.80309432372e-15
147750,1.67283370103e-15
148000,2.17579795848e-15
148250,2.33839701164e-15
148500,1.74928011147e-15
148750,1.2243686086e-15
149000,1.28619517248e-15
149250,1.9495442374e-15
149500,1.90074518502e-15
149750,2.16016545789e-15
150000,1.54267475641e-15
150250,1.96017468859e-15
150500,1.42422769521e-15
150750,2.27253814093e-15
151000,1.7884233007e-15
151250,2.39998345982e-15
151500,1.36257134015e-15
151750,1.18890114388e-15
152000,1.04768009692e-15
152250,1.50902080471e-15
152500,1.83521902972e-15
152750,1.60264257049e-15
153000,1.14031035993e-15
153250,1.61839000924e-15
153500,1.24210526828e-15
153750,2.322209271e-15
154000,1.24608561478e-15
154250,1.59341418685e-15
154500,1.07230958554e-15
154750,1.34003626818e-15
155000,1.45066192158e-15
155250,1.82422791117e-15
155500,1.28871753161e-15
155750,1.82787184483e-15
156000,1.57767192995e-15
156250,1.61886268455e-15
156500,9.9595196857e-16
156750,1.33105537275e-15
157000,7.72119166281e-16
157250,6.69896019135e-16
157500,1.28747135425e-15
157750,7.7970539918e-16
158000,1.4381124222e-15
158250,1.07275586954e-15
158500,9.64740037752e-16
158750,9.7563047819e-16
159000,9.88459073497e-16
159250,1.31021944884e-15
159500,7.45956630643e-16
159750,5.9519439115e-16
160000,5.00282276959e-16
160250,2.61530246976e-16
160500,2.18205274432e-15
160750,1.51625713978e-16
161000,8.07009947614e-16
161250,8.81935160658e-16
161500,1.86080111891e-15
161750,2.93649379186e-15
162000,2.27469330055e-15
162250,3.85428683398e-15
162500,1.28579491463e-15
162750,2.42024544063e-15
163000,4.76211868946e-16
163250,2.27242937654e-16
163500,1.02028283383e-15
163750,1.12919355876e-15
164000,4.12584842238e-16
164250,1.76134250098e-17
164500,3.15301993362e-16
164750,7.77992981354e-16
165000,1.7916587382e-16
165250,7.22518575321e-16
165500,6.01084409259e-16
165750,5.12008914403e-16
166000,6.93961320593e-16
166250,4.44527469142e-16
166500,9.58242361733e-16
166750,5.06147508554e-16
167000,8.47406419469e-16
167250,1.08782009141e-15
167500,4.07661670719e-16
167750,1.11656708433e-15
168000,4.46610549217e-16
168250,1.84473692313e-15
168500,9.26797569104e-16
168750,1.38759046437e-15
169000,1.4195986197e-15
169250,1.09418795675e-15
169500,1.03840053853e-16
169750,1.22254924911e-16
170000,6.35230737347e-16
170250,8.49135688205e-16
170500,1.21846979572e-15
170750,1.10402382373e-15
171000,4.25045270082e-16
171250,3.10941999927e-16
171500,4.39066603607e-16
171750,2.87334953399e-16
172000,1.9064825266e-16
172250,6.55547975678e-16
172500,6.95448293913e-16
172750,8.39514312335e-16
173000,3.424360243e-16
173250,1.42767864674e-16
173500,1.02504144603e-15
173750,8.4840825881e-16
174000,2.01336018294e-15
174250,3.51249759576e-15
174500,3.50489467398e-15
174750,1.79479663131e-15
175000,1.61017957086e-15
175250,1.04847805448e-15
175500,1.35568975824e-15
175750,8.63318462331e-16
176000,1.00731711173e-15
176250,1.04556808947e-15
176500,1.24706049608e-15
176750,8.13356248756e-16
177000,1.06653394948e-15
177250,2.02032086869e-15
177500,1.91002970736e-15
177750,1.58682153763e-15
178000,7.9563710405e-16
178250,8.81450937583e-16
178500,2.2543920962e-15
178750,9.73930236205e-16
179000,1.7583414896e-15
179250,2.04170005493e-15
179500,1.26255642027e-15
179750,1.41336114857e-15
180000,8.95325938953e-16
180250,1.09149803235e-15
180500,1.42816904395e-15
180750,5.57709534417e-16
181000,9.51351155619e-16
181250,1.24596169179e-15
181500,1.80616832537e-15
181750,2.00699763947e-15
182000,1.27927688297e-15
182250,1.06459646144e-15
182500,1.49544895083e-15
182750,2.63645016306e-15
183000,2.82724133674e-15
183250,2.26586456799e-15
183500,1.50842553808e-15
183750,3.38121088442e-15
184000,5.16173574727e-15
184250,6.91558930899e-15
184500,8.45928665011e-15
184750,8.17920868127e-15
185000,6.71793248409e-15
185250,4.77973167394e-15
185500,2.94479540947e-15
185750,2.63160588362e-15
186000,3.61199482393e-15
186250,4.01319992211e-15
186500,3.61296597083e-15
186750,2.75219663477e-15
187000,2.48733962845e-15
187250,3.54393669578e-15
187500,4.67352331819e-15
187750,4.67977837598e-15
188000,4.38125953517e-15
188250,3.71396500132e-15
188500,4.67280560235e-15
188750,4.88634116285e-15
189000,6.15696556186e-15
189250,6.7175758934e-15
189500,5.69484646413e-15
189750,5.37120898064e-15
190000,5.46009974597e-15
190250,6.14579702676e-15
190500,6.47922614081e-15
190750,7.03154043515e-15
191000,4.9530569629e-15
191250,5.94821993777e-15
191500,7.24118453067e-15
191750,6.96765614446e-15
192000,7.00068141806e-15
192250,6.25407963516e-15
192500,6.54567172725e-15
192750,6.90212160333e-15
193000,8.63985274033e-15
193250,8.01272537891e-15
193500,8.72814105288e-15
193750,8.82361299396e-15
194000,9.09142897337e-15
194250,9.28013562693e-15
194500,1.05647816683e-14
194750,1.13854148138e-14
195000,1.13224540322e-14
195250,1.13895422509e-14
195500,1.17459675207e-14
195750,1.306622518e-14
196000,1.45165922946e-14
196250,1.60440252467e-14
